The maximum sample data size is 20000

	insertionsort(): sorted
         N	 repetitions	   sort(sec)
      1000	      180608	    0.000006
      2000	      117996	    0.000008
      3000	       87180	    0.000011
      4000	       68754	    0.000015
      5000	       56988	    0.000018
      6000	       48674	    0.000021
      7000	       42642	    0.000023
      8000	       37757	    0.000026
      9000	       33883	    0.000030
     10000	       30760	    0.000033
     20000	       15660	    0.000064

	insertionsort(): randomized
         N	 repetitions	   sort(sec)
      1000	        1550	    0.000646
      2000	         398	    0.002513
      3000	         181	    0.005546
      4000	         102	    0.009816
      5000	          66	    0.015249
      6000	          46	    0.021902
      7000	          34	    0.030018
      8000	          26	    0.039484
      9000	          21	    0.049874
     10000	          17	    0.061607
     20000	           5	    0.243784

	insertionsort(): reversed
         N	 repetitions	   sort(sec)
      1000	         814	    0.001230
      2000	         204	    0.004906
      3000	          91	    0.011012
      4000	          52	    0.019569
      5000	          33	    0.030564
      6000	          23	    0.044001
      7000	          17	    0.059905
      8000	          13	    0.078199
      9000	          11	    0.098939
     10000	           9	    0.122223
     20000	           3	    0.488979

	mergesort(): sorted
         N	 repetitions	   sort(sec)
      1000	       18268	    0.000055
      2000	        8655	    0.000116
      3000	        5514	    0.000181
      4000	        4088	    0.000245
      5000	        3168	    0.000316
      6000	        2607	    0.000384
      7000	        2209	    0.000453
      8000	        1933	    0.000517
      9000	        1672	    0.000598
     10000	        1499	    0.000667
     20000	         711	    0.001407

	mergesort(): randomized
         N	 repetitions	   sort(sec)
      1000	        9979	    0.000100
      2000	        4535	    0.000221
      3000	        2874	    0.000348
      4000	        2092	    0.000478
      5000	        1624	    0.000616
      6000	        1315	    0.000761
      7000	        1113	    0.000899
      8000	         961	    0.001041
      9000	         830	    0.001206
     10000	         750	    0.001335
     20000	         346	    0.002896

	mergesort(): reversed
         N	 repetitions	   sort(sec)
      1000	       16852	    0.000059
      2000	        8068	    0.000124
      3000	        5169	    0.000193
      4000	        3867	    0.000259
      5000	        3046	    0.000328
      6000	        2499	    0.000400
      7000	        2128	    0.000470
      8000	        1851	    0.000540
      9000	        1608	    0.000622
     10000	        1442	    0.000694
     20000	         689	    0.001452

	quicksort(): sorted
         N	 repetitions	   sort(sec)
      1000	         423	    0.002366
      2000	         105	    0.009613
      3000	          47	    0.021627
      4000	          26	    0.038539
      5000	          17	    0.059923
      6000	          12	    0.086162
      7000	           9	    0.117199
      8000	           7	    0.153506
      9000	           6	    0.194080
     10000	           5	    0.241448
     20000	           2	    0.956897

	quicksort(): randomized
         N	 repetitions	   sort(sec)
      1000	       12955	    0.000077
      2000	        5582	    0.000179
      3000	        3317	    0.000302
      4000	        2423	    0.000413
      5000	        1968	    0.000508
      6000	        1531	    0.000653
      7000	        1325	    0.000755
      8000	        1095	    0.000913
      9000	         990	    0.001010
     10000	         874	    0.001144
     20000	         408	    0.002455

	quicksort(): reversed
         N	 repetitions	   sort(sec)
      1000	         572	    0.001751
      2000	         144	    0.006980
      3000	          64	    0.015690
      4000	          36	    0.027883
      5000	          23	    0.043752
      6000	          16	    0.062980
      7000	          12	    0.085668
      8000	           9	    0.111828
      9000	           8	    0.141459
     10000	           6	    0.174781
     20000	           2	    0.700510
